Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,3.280000,3.280000,3.240000,3.250000,3.145352,7740400
2019-06-17,3.280000,3.280000,3.240000,3.240000,3.135674,9734200
2019-06-18,3.230000,3.270000,3.230000,3.260000,3.155030,5081700
2019-06-19,3.260000,3.280000,3.250000,3.260000,3.155030,6679200
2019-06-20,3.280000,3.280000,3.250000,3.260000,3.155030,8749500
2019-06-21,3.270000,3.280000,3.240000,3.240000,3.135674,17446800
2019-06-24,3.240000,3.270000,3.240000,3.240000,3.135674,11660800
2019-06-25,3.260000,3.260000,3.240000,3.250000,3.145352,6826100
2019-06-26,3.240000,3.270000,3.240000,3.250000,3.145352,10133200
2019-06-27,3.250000,3.270000,3.250000,3.260000,3.155030,9495500
2019-06-28,3.270000,3.280000,3.260000,3.260000,3.155030,13130500
2019-07-01,3.280000,3.300000,3.270000,3.270000,3.164708,5993100
2019-07-02,3.300000,3.390000,3.300000,3.340000,3.232453,14742400
2019-07-03,3.340000,3.350000,3.290000,3.300000,3.193741,6869000
2019-07-04,3.310000,3.340000,3.310000,3.330000,3.222775,5337100
2019-07-05,3.340000,3.380000,3.320000,3.350000,3.242131,12161600
2019-07-08,3.340000,3.370000,3.310000,3.350000,3.242131,6392400
2019-07-09,3.350000,3.380000,3.310000,3.370000,3.261488,6283700
2019-07-10,3.370000,3.380000,3.350000,3.380000,3.271166,8563700
2019-07-11,3.380000,3.490000,3.370000,3.470000,3.358268,13307000
2019-07-12,3.470000,3.470000,3.380000,3.380000,3.271166,13975800
2019-07-15,3.390000,3.460000,3.390000,3.440000,3.329234,7544800
2019-07-16,3.440000,3.570000,3.440000,3.520000,3.406658,17636000
2019-07-17,3.550000,3.550000,3.480000,3.500000,3.387302,14735400
2019-07-18,3.480000,3.500000,3.430000,3.450000,3.338912,14219900
2019-07-19,3.440000,3.520000,3.440000,3.510000,3.396980,7254100
2019-07-22,3.500000,3.540000,3.470000,3.490000,3.377624,5921000
2019-07-23,3.500000,3.510000,3.460000,3.470000,3.358268,7203900
2019-07-24,3.460000,3.530000,3.460000,3.500000,3.387302,18920700
2019-07-25,3.520000,3.520000,3.470000,3.490000,3.377624,6276100
