Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,4.900000,4.900000,4.850000,4.870000,4.350301,3914800
2019-06-17,4.850000,4.870000,4.810000,4.810000,4.296704,3541400
2019-06-18,4.850000,4.950000,4.850000,4.950000,4.421764,4645500
2019-06-19,4.950000,4.980000,4.900000,4.950000,4.421764,6644700
2019-06-20,4.850000,4.990000,4.850000,4.950000,4.421764,8546100
2019-06-21,4.950000,4.950000,4.910000,4.950000,4.421764,14496000
2019-06-24,4.880000,4.960000,4.880000,4.950000,4.421764,5911300
2019-06-25,4.950000,4.970000,4.910000,4.970000,4.439631,7356600
2019-06-26,4.970000,5.020000,4.930000,5.000000,4.466429,8669600
2019-06-27,4.990000,5.050000,4.980000,5.050000,4.511094,4886300
2019-06-28,5.050000,5.100000,5.030000,5.050000,4.511094,13753000
2019-07-01,5.050000,5.090000,5.050000,5.070000,4.528958,8114700
2019-07-02,5.100000,5.100000,5.070000,5.070000,4.528958,12041700
2019-07-03,5.070000,5.090000,5.060000,5.080000,4.537892,11666600
2019-07-04,5.090000,5.100000,5.060000,5.080000,4.537892,10960900
2019-07-05,5.080000,5.090000,5.060000,5.070000,4.528958,9467100
2019-07-08,5.070000,5.070000,4.970000,5.050000,4.511094,8370500
2019-07-09,5.050000,5.070000,5.050000,5.060000,4.520026,6046200
2019-07-10,5.060000,5.060000,5.030000,5.050000,4.511094,7690900
2019-07-11,5.080000,5.090000,5.040000,5.050000,4.511094,4839700
2019-07-12,5.070000,5.100000,5.050000,5.050000,4.511094,2588100
2019-07-15,5.050000,5.070000,5.020000,5.050000,4.511094,7480800
2019-07-16,5.050000,5.060000,4.970000,4.980000,4.448563,5414600
2019-07-17,4.980000,4.990000,4.920000,4.930000,4.403898,10332300
2019-07-18,4.920000,4.970000,4.920000,4.940000,4.412832,11540700
2019-07-19,4.970000,4.970000,4.940000,4.960000,4.430698,10556200
2019-07-22,4.960000,4.990000,4.900000,4.980000,4.448563,7110100
2019-07-23,4.980000,5.010000,4.980000,4.990000,4.457496,9285500
2019-07-24,4.960000,4.970000,4.930000,4.950000,4.421764,8061600
2019-07-25,4.950000,4.980000,4.950000,4.960000,4.430698,10672400
2019-07-26,4.950000,4.990000,4.940000,4.960000,4.430698,7528800
2019-07-29,4.960000,5.010000,4.940000,5.000000,4.466429,8594000
2019-07-31,5.010000,5.030000,4.970000,5.000000,4.466429,7573900
2019-08-01,5.000000,5.010000,4.900000,5.010000,4.475362,9307700
2019-08-02,5.000000,5.010000,4.990000,5.000000,4.466429,5218700
2019-08-05,4.910000,5.000000,4.910000,4.980000,4.448563,6317600
2019-08-06,4.960000,4.980000,4.900000,4.970000,4.439631,13990100
2019-08-07,4.920000,5.020000,4.920000,5.000000,4.466429,6545700
2019-08-08,5.000000,5.030000,4.990000,5.020000,4.484294,2736100
2019-08-09,4.980000,5.040000,4.980000,5.000000,4.466429,5098600
2019-08-13,4.960000,5.000000,4.930000,4.970000,4.439631,5032400
2019-08-14,5.000000,5.020000,4.990000,5.000000,4.466429,6009300
2019-08-15,4.990000,4.990000,4.920000,4.990000,4.457496,4639700
2019-08-16,5.000000,5.020000,4.950000,5.020000,4.484294,6046900
2019-08-19,4.950000,5.000000,4.900000,4.970000,4.439631,7731300
2019-08-20,4.990000,5.020000,4.970000,5.020000,4.484294,3657500
2019-08-21,4.960000,5.010000,4.960000,4.980000,4.448563,4016400
2019-08-22,5.000000,5.030000,4.990000,5.000000,4.466429,6308300
2019-08-23,4.990000,5.010000,4.990000,5.010000,4.475362,2835100
2019-08-26,4.930000,5.040000,4.930000,5.000000,4.466429,2892700
2019-08-27,5.040000,5.080000,4.970000,5.000000,4.466429,8902500
2019-08-28,5.040000,5.040000,5.010000,5.030000,4.493227,5319800
2019-08-29,5.020000,5.030000,4.960000,5.010000,4.475362,3180800
2019-08-30,5.030000,5.040000,5.000000,5.020000,4.529498,7699500
2019-09-03,5.020000,5.050000,4.950000,4.950000,4.466338,2283400
2019-09-04,4.980000,4.990000,4.920000,4.980000,4.493407,2758800
2019-09-05,4.950000,4.980000,4.880000,4.900000,4.421224,5480200
2019-09-06,4.970000,4.970000,4.860000,4.890000,4.412202,1373700
2019-09-10,4.500000,4.600000,4.300000,4.600000,4.150537,18223500
2019-09-11,4.590000,4.640000,4.560000,4.610000,4.159560,9679200
2019-09-12,4.640000,4.750000,4.640000,4.720000,4.258811,4422500
2019-09-13,4.710000,4.710000,4.620000,4.710000,4.249788,4471700
2019-09-17,4.740000,4.740000,4.670000,4.720000,4.258811,5123200
2019-09-18,4.740000,4.780000,4.720000,4.780000,4.312949,2065600
2019-09-19,4.720000,4.760000,4.660000,4.760000,4.294903,1912600
2019-09-20,4.710000,4.730000,4.660000,4.670000,4.213697,12323400
2019-09-23,4.680000,4.740000,4.680000,4.720000,4.258811,9406600
2019-09-24,4.700000,4.730000,4.690000,4.690000,4.231743,5850300
2019-09-25,4.700000,4.710000,4.650000,4.690000,4.231743,2792700
2019-09-26,4.660000,4.750000,4.640000,4.740000,4.276856,2552900
2019-09-27,4.760000,4.770000,4.720000,4.740000,4.276856,1661600
2019-09-30,4.770000,4.770000,4.700000,4.750000,4.285881,3290600
2019-10-01,4.740000,4.780000,4.730000,4.780000,4.312949,1004800
2019-10-02,4.760000,4.760000,4.700000,4.700000,4.240766,1942000
2019-10-03,4.700000,4.700000,4.610000,4.650000,4.195652,5155700
2019-10-04,4.680000,4.700000,4.590000,4.670000,4.213697,1963900
2019-10-07,4.670000,4.690000,4.640000,4.670000,4.213697,1592300
2019-10-08,4.650000,4.690000,4.640000,4.670000,4.213697,2118500
2019-10-09,4.670000,4.680000,4.600000,4.640000,4.186628,1509000
2019-10-10,4.640000,4.700000,4.580000,4.640000,4.186628,3598800
2019-10-11,4.640000,4.690000,4.640000,4.690000,4.231743,1468800
2019-10-14,4.690000,4.750000,4.690000,4.720000,4.258811,1535700
2019-10-15,4.700000,4.720000,4.620000,4.630000,4.177607,4849100
2019-10-16,4.660000,4.710000,4.640000,4.710000,4.249788,5039200
2019-10-17,4.710000,4.750000,4.710000,4.740000,4.276856,4971200
2019-10-18,4.730000,4.770000,4.650000,4.690000,4.231743,8077300
2019-10-21,4.690000,4.690000,4.650000,4.670000,4.213697,1286800
2019-10-22,4.680000,4.700000,4.630000,4.700000,4.240766,5272100
2019-10-23,4.700000,4.720000,4.680000,4.720000,4.258811,3187600
2019-10-24,4.720000,4.750000,4.700000,4.720000,4.258811,3566600
2019-10-25,4.720000,4.750000,4.700000,4.720000,4.258811,1443600
2019-10-29,4.710000,4.750000,4.700000,4.740000,4.276856,4129200
2019-10-30,4.750000,4.750000,4.690000,4.720000,4.258811,1895100
2019-10-31,4.730000,4.750000,4.670000,4.700000,4.240766,5326600
2019-11-01,4.700000,4.720000,4.650000,4.680000,4.222720,2508600
2019-11-04,4.700000,4.730000,4.670000,4.710000,4.249788,2954900
2019-11-05,4.720000,4.740000,4.680000,4.700000,4.240766,4728100
2019-11-06,4.740000,4.740000,4.690000,4.710000,4.249788,2414600
2019-11-07,4.730000,4.730000,4.680000,4.690000,4.231743,1790000
2019-11-08,4.740000,4.740000,4.680000,4.700000,4.240766,2158900
2019-11-11,4.690000,4.700000,4.650000,4.690000,4.231743,2319600
2019-11-12,4.710000,4.730000,4.660000,4.680000,4.222720,2260700
2019-11-13,4.700000,4.700000,4.610000,4.680000,4.222720,1826100
2019-11-14,4.680000,4.690000,4.640000,4.640000,4.186628,1604200
2019-11-15,4.640000,4.660000,4.580000,4.580000,4.132492,1217600
2019-11-18,4.590000,4.730000,4.590000,4.730000,4.267835,1900100
2019-11-19,4.700000,4.700000,4.610000,4.630000,4.177607,3027600
2019-11-20,4.630000,4.650000,4.590000,4.630000,4.177607,2871600
2019-11-21,4.610000,4.610000,4.500000,4.600000,4.191274,2361800
2019-11-22,4.600000,4.630000,4.560000,4.600000,4.191274,3412400
2019-11-25,4.600000,4.630000,4.570000,4.600000,4.191274,1992100
2019-11-26,4.620000,4.630000,4.560000,4.630000,4.218608,10362600
2019-11-27,4.620000,4.630000,4.600000,4.610000,4.200385,3285200
2019-11-28,4.630000,4.630000,4.530000,4.560000,4.154827,1509500
2019-11-29,4.620000,4.620000,4.420000,4.480000,4.081936,4489400
2019-12-02,4.500000,4.630000,4.500000,4.630000,4.218608,2482700
2019-12-03,4.540000,4.620000,4.540000,4.620000,4.209496,3398500
2019-12-04,4.550000,4.610000,4.520000,4.540000,4.136605,7252300
2019-12-05,4.550000,4.560000,4.470000,4.510000,4.109270,3538600
2019-12-06,4.540000,4.580000,4.510000,4.540000,4.136605,1895300
2019-12-09,4.530000,4.570000,4.520000,4.530000,4.127493,2842500
2019-12-10,4.550000,4.550000,4.520000,4.530000,4.127493,4073300
2019-12-11,4.530000,4.540000,4.510000,4.520000,4.118382,2462500
2019-12-12,4.510000,4.530000,4.500000,4.510000,4.109270,3934300
2019-12-13,4.530000,4.530000,4.490000,4.510000,4.109270,5347900
2019-12-16,4.510000,4.530000,4.510000,4.510000,4.109270,3093900
2019-12-17,4.540000,4.560000,4.500000,4.530000,4.127493,8197200
2019-12-18,4.520000,4.560000,4.490000,4.520000,4.118382,8009100
2019-12-19,4.500000,4.550000,4.500000,4.520000,4.118382,4680100
2019-12-20,4.530000,4.600000,4.510000,4.550000,4.145716,15216000
2019-12-23,4.550000,4.570000,4.520000,4.550000,4.145716,4402800
2019-12-24,4.580000,4.580000,4.500000,4.500000,4.100158,2091900
2019-12-26,4.510000,4.530000,4.500000,4.510000,4.109270,3844200
2019-12-27,4.510000,4.520000,4.490000,4.510000,4.109270,2748000
2019-12-30,4.510000,4.540000,4.480000,4.500000,4.100158,4724500
2019-12-31,4.500000,4.510000,4.450000,4.460000,4.063713,4140600
2020-01-02,4.460000,4.500000,4.460000,4.480000,4.081936,3759200
2020-01-03,4.500000,4.600000,4.480000,4.600000,4.191274,9611300
2020-01-06,4.530000,4.530000,4.470000,4.490000,4.091046,4398100
2020-01-07,4.490000,4.610000,4.490000,4.530000,4.127493,3485100
2020-01-08,4.500000,4.520000,4.410000,4.450000,4.054601,4019100
2020-01-09,4.450000,4.580000,4.450000,4.580000,4.173050,2381300
2020-01-10,4.590000,4.600000,4.520000,4.540000,4.136605,1169800
2020-01-13,4.520000,4.570000,4.520000,4.560000,4.154827,1945200
2020-01-14,4.540000,4.580000,4.470000,4.550000,4.145716,5523800
2020-01-15,4.530000,4.530000,4.480000,4.510000,4.109270,2339200
2020-01-16,4.520000,4.570000,4.500000,4.540000,4.136605,2726600
2020-01-17,4.540000,4.680000,4.500000,4.620000,4.209496,11773000
2020-01-20,4.620000,4.620000,4.550000,4.550000,4.145716,703900
2020-01-21,4.560000,4.580000,4.520000,4.550000,4.145716,362400
2020-01-22,4.550000,4.570000,4.470000,4.510000,4.109270,4569500
2020-01-23,4.490000,4.540000,4.480000,4.490000,4.091046,1829400
2020-01-24,4.490000,4.540000,4.460000,4.480000,4.081936,228700
2020-01-28,4.460000,4.480000,4.390000,4.410000,4.018155,4053000
2020-01-29,4.410000,4.420000,4.350000,4.410000,4.018155,2823600
2020-01-30,4.380000,4.410000,4.330000,4.330000,3.945264,4544100
2020-01-31,4.330000,4.400000,4.220000,4.230000,3.854148,8270800
2020-02-03,4.200000,4.320000,4.200000,4.290000,3.908817,3740800
2020-02-04,4.300000,4.420000,4.300000,4.400000,4.009044,6922200
2020-02-05,4.420000,4.420000,4.330000,4.380000,3.990820,4526300
2020-02-06,4.380000,4.440000,4.380000,4.410000,4.018155,2055400
2020-02-07,4.410000,4.430000,4.360000,4.410000,4.018155,1668200
2020-02-10,4.400000,4.420000,4.350000,4.380000,3.990820,3598300
2020-02-11,4.360000,4.400000,4.360000,4.370000,3.981709,1548300
2020-02-12,4.380000,4.390000,4.300000,4.350000,3.963486,6005200
2020-02-13,4.340000,4.400000,4.340000,4.370000,3.981709,2476400
2020-02-14,4.340000,4.450000,4.340000,4.450000,4.054601,1880500
