Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,3.210000,3.250000,3.200000,3.230000,2.673121,7141000
2019-06-17,3.230000,3.300000,3.220000,3.260000,2.697949,8730100
2019-06-18,3.260000,3.340000,3.260000,3.310000,2.739328,10226900
2019-06-19,3.310000,3.350000,3.300000,3.340000,2.764156,6049800
2019-06-20,3.340000,3.390000,3.290000,3.380000,2.797260,9713100
2019-06-21,3.370000,3.380000,3.290000,3.350000,2.772432,13335100
2019-06-24,3.350000,3.350000,3.310000,3.320000,2.747604,5528000
2019-06-25,3.310000,3.320000,3.230000,3.230000,2.673121,9900700
2019-06-26,3.240000,3.260000,3.200000,3.250000,2.731963,6889100
2019-06-27,3.220000,3.230000,3.190000,3.200000,2.731964,6871100
2019-06-28,3.190000,3.250000,3.180000,3.240000,2.766113,6229700
2019-07-01,3.250000,3.300000,3.250000,3.280000,2.800262,4756000
2019-07-02,3.270000,3.320000,3.260000,3.290000,2.808800,5087700
2019-07-03,3.290000,3.320000,3.260000,3.300000,2.817337,4190900
2019-07-04,3.300000,3.310000,3.270000,3.300000,2.817337,2641300
2019-07-05,3.300000,3.310000,3.280000,3.300000,2.817337,4273800
2019-07-08,3.290000,3.300000,3.260000,3.280000,2.800262,3585700
2019-07-09,3.280000,3.300000,3.280000,3.290000,2.808800,3366700
2019-07-10,3.280000,3.300000,3.260000,3.300000,2.817337,6059900
2019-07-11,3.300000,3.300000,3.280000,3.290000,2.808800,3975200
2019-07-12,3.290000,3.300000,3.280000,3.290000,2.808800,4915600
2019-07-15,3.300000,3.400000,3.300000,3.390000,2.894174,14046200
2019-07-16,3.360000,3.400000,3.360000,3.390000,2.894174,12402400
2019-07-17,3.370000,3.390000,3.320000,3.380000,2.885636,7801500
2019-07-18,3.360000,3.380000,3.330000,3.370000,2.877099,7641800
2019-07-19,3.350000,3.370000,3.340000,3.360000,2.868562,6028400
2019-07-22,3.350000,3.370000,3.340000,3.360000,2.868562,7882600
2019-07-23,3.350000,3.510000,3.340000,3.450000,2.945398,21377900
2019-07-24,3.500000,3.730000,3.500000,3.700000,3.158833,57673700
2019-07-25,3.710000,3.730000,3.630000,3.670000,3.133220,17018700
2019-07-26,3.960000,4.000000,3.820000,3.900000,3.329580,62506000
2019-07-29,3.900000,3.900000,3.830000,3.850000,3.286893,11769600
2019-07-31,3.850000,3.890000,3.720000,3.870000,3.303968,33258600
2019-08-01,3.850000,3.880000,3.800000,3.820000,3.261281,13858800
2019-08-02,3.770000,3.790000,3.720000,3.750000,3.201519,18138500
2019-08-05,3.740000,3.750000,3.610000,3.610000,3.081996,21630700
2019-08-06,3.510000,3.670000,3.460000,3.610000,3.081996,40643700
2019-08-07,3.170000,3.340000,3.080000,3.180000,2.714888,256366400
2019-08-08,3.220000,3.270000,3.200000,3.230000,2.757576,34895400
2019-08-09,3.260000,3.260000,3.220000,3.220000,2.749038,15987900
2019-08-13,3.170000,3.190000,3.100000,3.120000,2.663664,44875300
2019-08-14,3.160000,3.180000,3.100000,3.110000,2.655127,23837000
2019-08-15,3.070000,3.120000,3.040000,3.070000,2.620977,26615400
2019-08-16,3.100000,3.130000,3.050000,3.080000,2.629515,22884200
