Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,6.560000,6.620000,6.480000,6.480000,5.714784,4438400
2019-06-17,6.470000,6.590000,6.460000,6.520000,5.750060,1797300
2019-06-18,6.520000,6.610000,6.520000,6.600000,5.820614,1961800
2019-06-19,6.620000,6.720000,6.610000,6.680000,5.891167,2971200
2019-06-20,6.700000,6.930000,6.690000,6.910000,6.094006,4207100
2019-06-21,6.950000,7.010000,6.860000,7.010000,6.182198,6690700
2019-06-24,7.000000,7.000000,6.780000,6.890000,6.076368,3184600
2019-06-25,6.850000,6.880000,6.730000,6.760000,5.961720,2910200
2019-06-26,6.750000,6.830000,6.750000,6.800000,6.050700,1585900
2019-06-27,6.760000,6.850000,6.680000,6.800000,6.104565,2447200
2019-06-28,6.800000,6.810000,6.700000,6.770000,6.077633,2628500
2019-07-01,6.840000,6.850000,6.770000,6.800000,6.104565,2053800
2019-07-02,6.810000,6.870000,6.770000,6.850000,6.149450,2622700
2019-07-03,6.860000,6.860000,6.760000,6.840000,6.140473,1619500
2019-07-04,6.840000,6.840000,6.780000,6.810000,6.113541,2192300
2019-07-05,6.810000,6.840000,6.770000,6.800000,6.104565,1595700
2019-07-08,6.800000,6.800000,6.670000,6.670000,5.987859,2056300
2019-07-09,6.680000,6.720000,6.610000,6.650000,5.969905,2391900
2019-07-10,6.650000,6.670000,6.580000,6.600000,5.925018,3167700
2019-07-11,6.620000,6.660000,6.600000,6.640000,5.960927,3297700
2019-07-12,6.650000,6.690000,6.600000,6.620000,5.942973,4028600
2019-07-15,6.640000,6.670000,6.610000,6.650000,5.969905,3083900
2019-07-16,6.660000,6.670000,6.620000,6.660000,5.978882,4415300
2019-07-17,6.630000,6.670000,6.600000,6.600000,5.925018,2079500
2019-07-18,6.600000,6.660000,6.600000,6.620000,5.942973,1771100
2019-07-19,6.620000,6.660000,6.610000,6.630000,5.951950,2914300
2019-07-22,6.630000,6.630000,6.550000,6.590000,5.916040,2280800
2019-07-23,6.600000,6.660000,6.540000,6.650000,5.969905,3863600
2019-07-24,6.620000,6.930000,6.610000,6.870000,6.167405,11956900
2019-07-25,6.880000,6.920000,6.820000,6.900000,6.194337,4629700
2019-07-26,6.980000,7.080000,6.960000,7.060000,6.337974,12636000
2019-07-29,7.060000,7.060000,6.930000,6.950000,6.239224,4664200
2019-07-31,6.920000,6.930000,6.760000,6.870000,6.167405,5681900
2019-08-01,6.800000,6.880000,6.780000,6.850000,6.149450,1444400
2019-08-02,6.800000,6.800000,6.730000,6.760000,6.068655,3100100
2019-08-05,6.710000,6.730000,6.630000,6.640000,5.960927,3309300
2019-08-06,6.570000,6.740000,6.510000,6.650000,5.969905,5945000
2019-08-07,6.500000,6.550000,6.170000,6.180000,5.547972,23641300
2019-08-08,6.210000,6.270000,6.190000,6.210000,5.574903,7433500
2019-08-09,6.240000,6.250000,6.190000,6.190000,5.556949,3313400
2019-08-13,6.170000,6.180000,6.030000,6.050000,5.431267,10092100
2019-08-14,6.110000,6.130000,6.040000,6.040000,5.422289,3444300
2019-08-15,6.000000,6.080000,5.980000,6.040000,5.422289,4658200
2019-08-16,6.060000,6.090000,5.990000,6.000000,5.386380,7793100
2019-08-19,6.020000,6.050000,5.970000,5.990000,5.377402,6988300
2019-08-20,6.000000,6.030000,5.970000,5.990000,5.377402,5764300
2019-08-21,5.990000,6.060000,5.970000,5.980000,5.368425,5840200
2019-08-22,6.000000,6.030000,5.940000,5.960000,5.350471,5980500
2019-08-23,5.960000,6.010000,5.950000,6.010000,5.395358,3029600
2019-08-26,5.970000,5.970000,5.940000,5.960000,5.350471,1926200
2019-08-27,5.970000,5.980000,5.900000,5.920000,5.314562,7058900
2019-08-28,5.930000,5.940000,5.900000,5.920000,5.314562,2285100
2019-08-29,5.920000,5.920000,5.830000,5.900000,5.296607,4988700
2019-08-30,6.010000,6.060000,5.980000,6.000000,5.386380,5314300
2019-09-03,6.000000,6.000000,5.860000,5.860000,5.260698,4677200
2019-09-04,5.890000,5.890000,5.810000,5.850000,5.251720,8686400
2019-09-05,5.860000,5.910000,5.830000,5.870000,5.269675,6558900
2019-09-06,5.890000,5.900000,5.860000,5.870000,5.269675,5230600
2019-09-10,5.870000,5.910000,5.830000,5.840000,5.242744,8079300
2019-09-11,5.840000,5.870000,5.810000,5.840000,5.242744,6939900
2019-09-12,5.840000,5.910000,5.830000,5.860000,5.260698,13411700
2019-09-13,5.850000,5.870000,5.830000,5.840000,5.242744,5375300
2019-09-17,5.840000,5.870000,5.810000,5.840000,5.242744,10555200
2019-09-18,5.860000,5.870000,5.730000,5.800000,5.206834,8165400
2019-09-19,5.800000,5.810000,5.730000,5.770000,5.179903,6780900
2019-09-20,5.770000,5.850000,5.760000,5.800000,5.206834,24395200
2019-09-23,5.810000,5.960000,5.790000,5.940000,5.332516,5595600
2019-09-24,5.970000,5.980000,5.860000,5.890000,5.287630,3422400
2019-09-25,5.900000,5.930000,5.820000,5.820000,5.224789,2592600
2019-09-26,5.840000,5.860000,5.780000,5.800000,5.206834,4713100
2019-09-27,5.800000,5.810000,5.730000,5.740000,5.152970,4086900
2019-09-30,5.750000,5.770000,5.730000,5.740000,5.152970,4232400
2019-10-01,5.740000,5.750000,5.700000,5.730000,5.143994,2501500
2019-10-02,5.720000,5.760000,5.720000,5.740000,5.152970,2234300
2019-10-03,5.730000,5.730000,5.690000,5.690000,5.108084,3767700
2019-10-04,5.710000,5.720000,5.680000,5.700000,5.117061,2784800
2019-10-07,5.710000,5.750000,5.680000,5.730000,5.143994,1450700
2019-10-08,5.730000,5.740000,5.650000,5.650000,5.072175,5486600
2019-10-09,5.640000,5.670000,5.630000,5.630000,5.054220,2331900
2019-10-10,5.630000,5.670000,5.590000,5.600000,5.027287,2635800
2019-10-11,5.630000,5.640000,5.590000,5.610000,5.036265,7775700
2019-10-14,5.640000,5.730000,5.610000,5.650000,5.072175,3956000
2019-10-15,5.660000,5.770000,5.650000,5.720000,5.135015,5194300
2019-10-16,5.740000,5.820000,5.740000,5.800000,5.206834,6245800
2019-10-17,5.800000,5.810000,5.730000,5.770000,5.179903,4395600
2019-10-18,5.770000,5.770000,5.680000,5.700000,5.117061,4234000
2019-10-21,5.700000,5.700000,5.610000,5.640000,5.063197,4177200
2019-10-22,5.650000,5.720000,5.630000,5.700000,5.117061,4870700
2019-10-23,5.700000,5.710000,5.640000,5.650000,5.072175,3919500
2019-10-24,5.660000,5.720000,5.650000,5.710000,5.126039,3551100
2019-10-25,5.720000,5.720000,5.690000,5.690000,5.108084,3744000
2019-10-29,5.670000,5.730000,5.600000,5.700000,5.176191,5417100
