Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,4.25,4.25,4.14,4.17,3.893803,1711200
2019-06-17,4.17,4.24,4.17,4.18,3.903141,1381500
2019-06-18,4.16,4.28,4.16,4.23,3.94983,3345600
2019-06-19,4.21,4.47,4.21,4.37,4.080555,1269300
2019-06-20,4.33,4.39,4.28,4.33,4.043205,1414200
2019-06-21,4.27,4.42,4.25,4.25,3.968505,8321700
2019-06-24,4.27,4.3,4.19,4.2,3.921816,2134400
2019-06-25,4.21,4.27,4.19,4.26,3.977843,2000300
2019-06-26,4.24,4.3,4.2,4.29,4.005855,593100
2019-06-27,4.25,4.31,4.25,4.29,4.005855,1746900
2019-06-28,4.29,4.35,4.25,4.25,3.968505,3699900
2019-07-01,4.25,4.27,4.22,4.24,3.959167,1049300
2019-07-02,4.22,4.33,4.22,4.24,3.959167,2935300
2019-07-03,4.25,4.25,4.22,4.25,3.968505,1370100
2019-07-04,4.24,4.28,4.24,4.25,3.968505,2462500
2019-07-05,4.26,4.3,4.26,4.29,4.005855,1662100
2019-07-08,4.26,4.29,4.24,4.24,3.959167,493200
2019-07-09,4.24,4.28,4.23,4.25,3.968505,1098800
2019-07-10,4.26,4.28,4.24,4.27,3.98718,1104800
2019-07-11,4.27,4.27,4.24,4.27,3.98718,347700
2019-07-12,4.26,4.28,4.25,4.25,3.968505,676200
2019-07-15,4.25,4.26,4.2,4.22,3.940491,1177100
2019-07-16,4.23,4.25,4.21,4.22,3.940491,1074300
2019-07-17,4.24,4.28,4.23,4.24,3.959167,977500
2019-07-18,4.23,4.26,4.23,4.24,3.959167,652000
2019-07-19,4.27,4.27,4.21,4.23,3.94983,1638700
2019-07-22,4.23,4.24,4.17,4.24,3.959167,1173400
2019-07-23,4.25,4.26,4.21,4.21,3.931154,2273900
2019-07-24,4.19,4.28,4.18,4.2,3.921816,1698500
2019-07-25,4.22,4.27,4.2,4.25,3.968505,1565200
2019-07-26,4.25,4.25,4.18,4.18,3.903141,2115800
2019-07-29,4.17,4.21,4.16,4.2,3.921816,1104700
2019-07-31,4.19,4.23,4.17,4.19,3.912478,2443000
2019-08-01,4.16,4.24,4.16,4.2,3.921816,1706200
2019-08-02,4.15,4.21,4.15,4.17,3.893803,3346000
2019-08-05,4.17,4.18,4.13,4.17,3.893803,2566600
2019-08-06,4.14,4.2,4.1,4.17,3.893803,4995700
2019-08-07,4.22,4.22,4.18,4.19,3.912478,2258200
2019-08-08,4.2,4.36,4.2,4.28,3.996517,1154800
2019-08-09,4.23,4.28,4.22,4.22,3.940491,1311900
2019-08-13,4.21,4.22,4.16,4.2,3.921816,5075200
2019-08-14,4.21,4.25,4.2,4.2,3.921816,1371100
2019-08-15,4.13,4.23,4.13,4.23,3.94983,3100100
2019-08-16,4.2,4.27,4.18,4.23,3.94983,1856900
2019-08-19,4.2,4.25,4.2,4.22,3.940491,2323200
2019-08-20,4.22,4.33,4.2,4.28,3.996517,1089000
