Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,8.970000,8.970000,8.950000,8.960000,7.262179,6650700
2019-06-17,8.980000,8.980000,8.930000,8.960000,7.262179,5022200
2019-06-18,8.960000,8.970000,8.920000,8.930000,7.237863,5283000
2019-06-19,8.970000,8.970000,8.930000,8.940000,7.245969,7570200
2019-06-20,8.920000,8.960000,8.910000,8.940000,7.245969,7648100
2019-06-21,8.960000,8.960000,8.910000,8.940000,7.245969,11051500
2019-06-24,8.930000,8.970000,8.920000,8.960000,7.262179,7099800
2019-06-25,8.950000,8.960000,8.900000,8.930000,7.237863,8641300
2019-06-26,8.920000,8.940000,8.910000,8.920000,7.229759,6928500
2019-06-27,8.920000,8.930000,8.860000,8.890000,7.205444,7929900
2019-06-28,8.890000,8.960000,8.880000,8.880000,7.197339,7548900
2019-07-01,8.910000,8.940000,8.900000,8.910000,7.221653,3658100
2019-07-02,8.920000,8.980000,8.910000,8.980000,7.278389,12840800
2019-07-03,8.980000,8.980000,8.930000,8.970000,7.270284,9673400
2019-07-04,8.970000,8.980000,8.940000,8.980000,7.278389,7870700
2019-07-05,8.960000,8.980000,8.930000,8.970000,7.270284,5125500
2019-07-08,8.950000,8.970000,8.910000,8.920000,7.229759,5985800
2019-07-09,8.940000,8.970000,8.930000,8.940000,7.245969,8066500
2019-07-10,8.950000,8.960000,8.930000,8.940000,7.245969,6855900
2019-07-11,8.950000,8.970000,8.920000,8.950000,7.254073,4950100
2019-07-12,8.980000,8.980000,8.880000,8.920000,7.229759,10903400
2019-07-15,8.930000,8.940000,8.890000,8.900000,7.213548,3701800
2019-07-16,8.900000,8.950000,8.880000,8.890000,7.205444,3588900
2019-07-17,8.900000,8.920000,8.860000,8.880000,7.197339,5701600
2019-07-18,8.880000,8.890000,8.860000,8.860000,7.181127,3838700
2019-07-19,8.870000,8.880000,8.860000,8.870000,7.189233,4497500
2019-07-22,8.880000,8.890000,8.810000,8.820000,7.148706,6165500
2019-07-23,8.820000,8.840000,8.800000,8.820000,7.148706,6368100
2019-07-24,8.820000,8.830000,8.760000,8.760000,7.100078,5093000
2019-07-25,8.790000,8.820000,8.730000,8.750000,7.091970,9117100
2019-07-26,8.750000,8.780000,8.710000,8.730000,7.075761,4588700
2019-07-29,8.750000,8.780000,8.700000,8.730000,7.075761,5072800
2019-07-31,8.730000,8.750000,8.650000,8.650000,7.010921,17542100
2019-08-01,8.650000,8.720000,8.650000,8.690000,7.043340,5064100
2019-08-02,8.700000,8.700000,8.650000,8.650000,7.010921,6821900
2019-08-05,8.650000,8.650000,8.580000,8.580000,6.954185,8831000
2019-08-06,8.540000,8.630000,8.510000,8.590000,6.962290,9918800
2019-08-07,8.610000,8.620000,8.600000,8.600000,6.970396,8301100
2019-08-08,8.620000,8.690000,8.600000,8.620000,6.986605,6975600
2019-08-09,8.640000,8.660000,8.600000,8.600000,6.970396,6605900
2019-08-13,8.600000,8.610000,8.530000,8.560000,6.937975,5917100
2019-08-14,8.600000,8.630000,8.560000,8.590000,6.962290,9499500
2019-08-15,8.570000,8.580000,8.520000,8.550000,6.929870,8892600
2019-08-16,8.560000,8.570000,8.500000,8.510000,6.897449,11401400
2019-08-19,8.520000,8.570000,8.500000,8.520000,6.905555,6714400
2019-08-20,8.520000,8.560000,8.520000,8.550000,6.929870,10350600
2019-08-21,8.550000,8.560000,8.530000,8.530000,6.913659,5846900
2019-08-22,8.550000,8.580000,8.530000,8.560000,6.937975,7838100
2019-08-23,8.560000,8.640000,8.560000,8.640000,7.002816,6326000
2019-08-26,8.590000,8.600000,8.560000,8.590000,6.962290,6005900
2019-08-27,8.610000,8.640000,8.550000,8.550000,6.929870,14190300
2019-08-28,8.550000,8.580000,8.520000,8.530000,6.913659,5598000
2019-08-29,8.540000,8.590000,8.530000,8.570000,6.946079,8272500
2019-08-30,8.620000,8.700000,8.600000,8.690000,7.043340,9212700
2019-09-03,8.740000,8.750000,8.680000,8.700000,7.051446,10525800
2019-09-04,8.720000,8.770000,8.680000,8.720000,7.067657,9295600
2019-09-05,8.730000,8.780000,8.720000,8.740000,7.083866,8272900
2019-09-06,8.780000,8.780000,8.730000,8.750000,7.091970,7441000
2019-09-10,8.860000,8.880000,8.810000,8.860000,7.181127,12508100
2019-09-11,8.880000,8.910000,8.870000,8.890000,7.205444,11237400
2019-09-12,8.900000,8.980000,8.890000,8.900000,7.213548,12803800
2019-09-13,8.910000,8.950000,8.860000,8.900000,7.213548,10335100
2019-09-17,8.950000,8.960000,8.880000,8.900000,7.213548,13910200
2019-09-18,8.650000,8.720000,8.630000,8.700000,7.255245,6042600
2019-09-19,8.700000,8.720000,8.640000,8.640000,7.205209,6755400
2019-09-20,8.660000,8.730000,8.640000,8.730000,7.280263,13272200
2019-09-23,8.750000,8.750000,8.680000,8.720000,7.271925,4038400
2019-09-24,8.720000,8.720000,8.620000,8.650000,7.213548,8929700
2019-09-25,8.680000,8.680000,8.610000,8.620000,7.188530,5125100
2019-09-26,8.640000,8.700000,8.640000,8.700000,7.255245,7652400
2019-09-27,8.700000,8.700000,8.600000,8.600000,7.171852,4332500
2019-09-30,8.610000,8.630000,8.500000,8.510000,7.096797,9061300
2019-10-01,8.550000,8.590000,8.530000,8.590000,7.163512,5553700
2019-10-02,8.570000,8.570000,8.520000,8.530000,7.113475,3915200
2019-10-03,8.520000,8.540000,8.460000,8.480000,7.071779,6570100
2019-10-04,8.500000,8.500000,8.400000,8.440000,7.038422,10661800
2019-10-07,8.450000,8.500000,8.440000,8.470000,7.063440,4105500
2019-10-08,8.480000,8.500000,8.420000,8.450000,7.046761,5380600
2019-10-09,8.450000,8.450000,8.380000,8.380000,6.988385,4474800
2019-10-10,8.400000,8.400000,8.370000,8.390000,6.996725,3473500
2019-10-11,8.400000,8.470000,8.400000,8.440000,7.038422,3989400
2019-10-14,8.480000,8.570000,8.480000,8.530000,7.113475,4916400
2019-10-15,8.540000,8.550000,8.510000,8.510000,7.096797,4334300
2019-10-16,8.540000,8.580000,8.500000,8.520000,7.105137,8849800
2019-10-17,8.530000,8.550000,8.500000,8.520000,7.105137,5993600
2019-10-18,8.540000,8.540000,8.470000,8.500000,7.088458,7098000
2019-10-21,8.500000,8.550000,8.470000,8.490000,7.080118,3747900
2019-10-22,8.510000,8.540000,8.450000,8.500000,7.088458,7845800
2019-10-23,8.500000,8.510000,8.450000,8.470000,7.063440,4095900
2019-10-24,8.470000,8.510000,8.440000,8.460000,7.055101,7467400
2019-10-25,8.460000,8.480000,8.450000,8.450000,7.046761,3155700
2019-10-29,8.480000,8.510000,8.460000,8.470000,7.063440,14631300
2019-10-30,8.470000,8.520000,8.460000,8.470000,7.063440,6977800
2019-10-31,8.520000,8.620000,8.490000,8.600000,7.171852,21248900
2019-11-01,8.610000,8.620000,8.570000,8.600000,7.171852,3680100
2019-11-04,8.620000,8.670000,8.600000,8.630000,7.196869,11283300
2019-11-05,8.600000,8.680000,8.580000,8.660000,7.221887,15375000
2019-11-06,8.680000,8.730000,8.610000,8.710000,7.263585,6581000
2019-11-07,8.710000,8.750000,8.690000,8.750000,7.296941,8063900
2019-11-08,8.750000,8.840000,8.720000,8.830000,7.363657,11932700
2019-11-11,8.840000,8.860000,8.820000,8.850000,7.380336,8700300
2019-11-12,8.840000,8.860000,8.750000,8.790000,7.330299,3939000
2019-11-13,8.790000,8.790000,8.640000,8.650000,7.213548,7346800
2019-11-14,8.660000,8.700000,8.620000,8.670000,7.230227,6244700
2019-11-15,8.680000,8.690000,8.640000,8.660000,7.221887,7008800
2019-11-18,8.660000,8.680000,8.640000,8.660000,7.221887,5251700
2019-11-19,8.660000,8.680000,8.640000,8.650000,7.213548,4647700
2019-11-20,8.650000,8.680000,8.640000,8.670000,7.230227,11370400
2019-11-21,8.680000,8.680000,8.630000,8.640000,7.205209,5467000
2019-11-22,8.640000,8.680000,8.630000,8.640000,7.205209,5267700
2019-11-25,8.650000,8.670000,8.620000,8.660000,7.221887,6747400
2019-11-26,8.670000,8.670000,8.590000,8.590000,7.163512,15542800
2019-11-27,8.580000,8.600000,8.540000,8.580000,7.155173,4553100
2019-11-28,8.560000,8.560000,8.500000,8.520000,7.105137,8068300
2019-11-29,8.530000,8.570000,8.510000,8.530000,7.113475,6025600
2019-12-02,8.540000,8.560000,8.500000,8.510000,7.096797,4145700
2019-12-03,8.520000,8.540000,8.470000,8.510000,7.096797,6843000
2019-12-04,8.510000,8.520000,8.480000,8.500000,7.088458,7934400
2019-12-05,8.510000,8.600000,8.510000,8.530000,7.113475,7746400
2019-12-06,8.510000,8.540000,8.500000,8.500000,7.088458,3088400
2019-12-09,8.510000,8.560000,8.500000,8.560000,7.138494,3065600
2019-12-10,8.530000,8.560000,8.520000,8.540000,7.121816,3225200
2019-12-11,8.530000,8.600000,8.520000,8.540000,7.121816,5468200
2019-12-12,8.530000,8.550000,8.510000,8.510000,7.096797,6781500
2019-12-13,8.530000,8.570000,8.520000,8.540000,7.121816,10515700
2019-12-16,8.540000,8.560000,8.520000,8.520000,7.105137,5157900
2019-12-17,8.530000,8.550000,8.520000,8.550000,7.130155,7654700
2019-12-18,8.550000,8.640000,8.530000,8.640000,7.205209,10309700
2019-12-19,8.640000,8.800000,8.600000,8.740000,7.288602,7648800
2019-12-20,8.760000,8.800000,8.550000,8.620000,7.188530,10136800
2019-12-23,8.610000,8.670000,8.570000,8.620000,7.188530,5219600
2019-12-24,8.630000,8.630000,8.590000,8.600000,7.171852,2532200
2019-12-26,8.600000,8.670000,8.600000,8.640000,7.205209,375500
2019-12-27,8.640000,8.650000,8.600000,8.610000,7.180191,6505300
2019-12-30,8.620000,8.720000,8.620000,8.720000,7.271925,3756900
2019-12-31,8.690000,8.690000,8.610000,8.640000,7.205209,6929900
2020-01-02,8.650000,8.750000,8.630000,8.750000,7.296941,5716500
2020-01-03,8.790000,8.810000,8.690000,8.750000,7.296941,6452400
2020-01-06,8.770000,8.770000,8.620000,8.650000,7.213548,4537900
2020-01-07,8.650000,8.700000,8.640000,8.650000,7.213548,6513100
2020-01-08,8.620000,8.640000,8.520000,8.540000,7.121816,4732900
2020-01-09,8.590000,8.660000,8.570000,8.650000,7.213548,7231600
2020-01-10,8.650000,8.690000,8.630000,8.650000,7.213548,8110500
2020-01-13,8.660000,8.690000,8.640000,8.650000,7.213548,6456900
2020-01-14,8.650000,8.680000,8.580000,8.650000,7.213548,6869000
2020-01-15,8.650000,8.670000,8.580000,8.600000,7.171852,3523000
2020-01-16,8.600000,8.640000,8.570000,8.610000,7.180191,6331700
2020-01-17,8.630000,8.660000,8.600000,8.620000,7.188530,5506200
2020-01-20,8.620000,8.630000,8.600000,8.600000,7.171852,4212700
2020-01-21,8.620000,8.620000,8.590000,8.600000,7.171852,3875900
2020-01-22,8.600000,8.620000,8.530000,8.550000,7.130155,5624600
2020-01-23,8.550000,8.550000,8.490000,8.510000,7.096797,5802400
2020-01-24,8.510000,8.560000,8.510000,8.530000,7.113475,2740700
2020-01-28,8.500000,8.510000,8.450000,8.460000,7.055101,12736400
2020-01-29,8.470000,8.490000,8.450000,8.450000,7.046761,9535400
2020-01-30,8.470000,8.500000,8.440000,8.490000,7.080118,6858300
2020-01-31,8.460000,8.490000,8.430000,8.430000,7.030083,16259500
2020-02-03,8.400000,8.430000,8.360000,8.360000,6.971706,7053100
2020-02-04,8.420000,8.450000,8.390000,8.400000,7.005064,10386900
2020-02-05,8.430000,8.430000,8.350000,8.360000,6.971706,9715000
2020-02-06,8.390000,8.500000,8.380000,8.450000,7.046761,6801600
2020-02-07,8.490000,8.520000,8.450000,8.510000,7.096797,9304800
2020-02-10,8.510000,8.520000,8.450000,8.480000,7.071779,5698400
2020-02-11,8.500000,8.560000,8.480000,8.540000,7.121816,10879400
2020-02-12,8.540000,8.650000,8.410000,8.460000,7.055101,15380500
2020-02-13,8.480000,8.500000,8.440000,8.460000,7.055101,7950000
2020-02-14,8.440000,8.520000,8.420000,8.470000,7.063440,6152900
2020-02-17,8.470000,8.500000,8.470000,8.490000,7.080118,3413200
2020-02-18,8.490000,8.510000,8.460000,8.470000,7.063440,7876600
2020-02-19,8.490000,8.490000,8.380000,8.400000,7.005064,7351200
2020-02-20,8.460000,8.480000,8.400000,8.420000,7.021743,6472500
2020-02-21,8.400000,8.440000,8.400000,8.410000,7.013403,5112800
2020-02-24,8.380000,8.390000,8.180000,8.200000,6.838277,31879200
2020-02-25,8.200000,8.310000,8.190000,8.280000,6.904992,9919800
2020-02-26,8.260000,8.410000,8.230000,8.330000,6.946689,13805600
2020-02-27,8.350000,8.530000,8.340000,8.520000,7.105137,10516600
2020-02-28,8.470000,8.490000,8.390000,8.420000,7.021743,21388000
2020-03-02,8.350000,8.430000,8.140000,8.390000,6.996725,19116200
2020-03-03,8.420000,8.450000,8.330000,8.410000,7.013403,13108500
2020-03-04,8.410000,8.500000,8.390000,8.470000,7.063440,12396400
2020-03-05,8.480000,8.540000,8.480000,8.530000,7.113475,12099700
2020-03-06,8.480000,8.530000,8.440000,8.500000,7.088458,10325900
2020-03-09,8.440000,8.470000,8.230000,8.240000,6.871634,16192400
2020-03-10,8.200000,8.440000,8.200000,8.370000,6.980046,18280300
2020-03-11,8.370000,8.450000,8.310000,8.390000,6.996725,11597700
2020-03-12,8.340000,8.360000,8.250000,8.280000,6.904992,16420700
2020-03-13,8.280000,8.280000,8.280000,8.280000,6.904992,0
2020-03-16,7.700000,7.700000,7.100000,7.290000,6.079395,45554700
2020-03-17,7.080000,7.490000,7.000000,7.360000,6.137771,28858800
2020-03-18,7.360000,7.500000,7.200000,7.260000,6.054377,23446600
2020-03-19,7.190000,7.240000,7.020000,7.080000,5.904269,23988500
2020-03-20,7.090000,7.550000,7.080000,7.510000,6.262861,22601000
2020-03-23,7.200000,7.320000,7.110000,7.120000,5.937625,18596500
2020-03-24,7.200000,7.340000,7.200000,7.300000,6.087735,14441000
2020-03-25,7.400000,7.460000,7.200000,7.300000,6.087735,14453800
2020-03-26,7.430000,7.430000,7.260000,7.270000,6.062716,13453200
2020-03-27,7.340000,7.420000,7.320000,7.370000,6.146110,15861300
2020-03-30,7.350000,7.350000,7.300000,7.310000,6.096074,10944500
2020-03-31,7.350000,7.500000,7.340000,7.450000,6.212824,14393100
2020-04-01,7.450000,7.460000,7.320000,7.320000,6.104413,15024600
2020-04-02,7.310000,7.370000,7.300000,7.340000,6.121092,9883600
2020-04-03,7.350000,7.420000,7.340000,7.400000,6.171128,6937700
2020-04-06,7.400000,7.680000,7.400000,7.650000,6.379612,6529300
2020-04-07,7.780000,7.920000,7.780000,7.830000,6.529720,14042800
2020-04-08,7.880000,7.920000,7.800000,7.870000,6.563078,7979700
2020-04-09,7.900000,7.940000,7.880000,7.900000,6.588096,9053200
2020-04-10,7.550000,7.550000,7.440000,7.500000,6.579323,3199500
2020-04-13,7.500000,7.500000,7.370000,7.450000,6.535461,3697500
2020-04-14,7.440000,7.580000,7.420000,7.580000,6.649503,5095200
2020-04-15,7.580000,7.680000,7.550000,7.640000,6.702137,7220700
2020-04-16,7.620000,7.630000,7.570000,7.580000,6.649503,9129900
2020-04-17,7.610000,7.740000,7.610000,7.700000,6.754772,5773400
2020-04-20,7.730000,7.760000,7.690000,7.690000,6.746000,7327600
2020-04-21,7.670000,7.670000,7.560000,7.560000,6.631958,4959100
2020-04-22,7.530000,7.530000,7.400000,7.500000,6.579323,8617300
2020-04-23,7.520000,7.560000,7.420000,7.420000,6.509145,7702100
2020-04-24,7.440000,7.450000,7.360000,7.360000,6.456510,7651200
2020-04-27,7.400000,7.440000,7.380000,7.400000,6.491600,3110600
2020-04-28,7.380000,7.400000,7.350000,7.360000,6.456510,7867700
2020-04-29,7.360000,7.500000,7.360000,7.410000,6.500371,3739500
2020-04-30,7.450000,7.600000,7.450000,7.570000,6.640731,7502800
2020-05-04,7.500000,7.500000,7.350000,7.380000,6.474054,7092400
2020-05-05,7.400000,7.570000,7.400000,7.480000,6.561779,3949500
2020-05-06,7.500000,7.560000,7.410000,7.410000,6.500371,5791800
2020-05-08,7.400000,7.460000,7.400000,7.410000,6.500371,7307200
2020-05-12,7.410000,7.470000,7.410000,7.440000,6.526689,5221600
2020-05-13,7.440000,7.450000,7.390000,7.390000,6.482826,5626200
2020-05-14,7.400000,7.440000,7.380000,7.400000,6.491600,4223000
2020-05-15,7.420000,7.470000,7.400000,7.400000,6.491600,2744800
2020-05-18,7.420000,7.480000,7.410000,7.410000,6.500371,3750500
2020-05-19,7.480000,7.520000,7.450000,7.450000,6.535461,5307600
2020-05-20,7.480000,7.520000,7.450000,7.490000,6.570551,2983300
2020-05-21,7.500000,7.660000,7.500000,7.510000,6.588096,6725100
2020-05-22,7.520000,7.560000,7.420000,7.430000,6.517917,7050300
2020-05-27,7.410000,7.450000,7.380000,7.400000,6.491600,11075300
2020-05-28,7.400000,7.420000,7.380000,7.410000,6.500371,7071200
2020-05-29,7.400000,7.530000,7.390000,7.500000,6.579323,15319500
2020-06-02,7.500000,7.500000,7.500000,7.500000,6.579323,0
2020-06-03,7.530000,8.000000,7.530000,7.980000,7.000401,14943700
2020-06-04,8.080000,8.200000,8.040000,8.190000,7.184621,14813700
2020-06-05,8.150000,8.150000,7.970000,8.080000,7.088124,10096100
2020-06-09,8.200000,8.200000,8.110000,8.200000,7.193393,10902800
