Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,7.260000,7.260000,6.910000,7.110000,6.274111,1720600
2019-06-17,7.000000,7.170000,6.930000,6.970000,6.150570,1506500
2019-06-18,7.040000,7.320000,7.040000,7.200000,6.353530,3178000
2019-06-19,7.260000,7.380000,7.130000,7.150000,6.309409,1719900
2019-06-20,7.040000,7.350000,7.040000,7.180000,6.335882,3986900
2019-06-21,7.080000,7.240000,7.080000,7.200000,6.353530,3502500
2019-06-24,7.200000,7.220000,7.150000,7.220000,6.371179,1499000
2019-06-25,7.200000,7.290000,7.150000,7.210000,6.362354,1492000
2019-06-26,7.110000,7.500000,7.110000,7.150000,6.309409,2297100
2019-06-27,7.170000,7.400000,7.160000,7.200000,6.353530,3044300
2019-06-28,7.140000,7.380000,7.140000,7.150000,6.309409,2335300
2019-07-01,7.150000,7.230000,7.120000,7.210000,6.362354,1916900
2019-07-02,7.300000,7.310000,7.160000,7.280000,6.424125,3118200
2019-07-03,7.250000,7.310000,7.170000,7.230000,6.380004,1607800
2019-07-04,7.290000,7.310000,7.240000,7.270000,6.415301,875000
2019-07-05,7.250000,7.270000,7.200000,7.260000,6.406477,290200
2019-07-08,7.250000,7.250000,7.180000,7.200000,6.353530,3504100
2019-07-09,7.200000,7.240000,7.190000,7.220000,6.371179,3413700
2019-07-10,7.250000,7.340000,7.210000,7.230000,6.380004,2927100
2019-07-11,7.250000,7.370000,7.200000,7.280000,6.424125,3484500
2019-07-12,7.360000,7.360000,7.200000,7.290000,6.432949,3059200
2019-07-15,7.270000,7.310000,7.270000,7.300000,6.441774,1614200
2019-07-16,7.380000,7.400000,7.250000,7.330000,6.468246,2541100
2019-07-17,7.330000,7.400000,7.240000,7.320000,6.459423,2038400
2019-07-18,7.370000,7.390000,7.240000,7.280000,6.424125,2841500
2019-07-19,7.180000,7.380000,7.180000,7.340000,6.477071,1913600
2019-07-22,7.210000,7.370000,7.170000,7.340000,6.477071,1194400
2019-07-23,7.360000,7.380000,7.340000,7.360000,6.494720,2694400
2019-07-24,7.360000,7.400000,7.260000,7.360000,6.494720,5921100
2019-07-25,7.370000,7.380000,7.340000,7.350000,6.485896,3581000
2019-07-26,7.160000,7.280000,7.160000,7.240000,6.388828,1894200
2019-07-29,7.170000,7.310000,7.150000,7.230000,6.380004,473200
2019-07-31,7.210000,7.310000,7.200000,7.250000,6.397652,4862900
2019-08-01,7.180000,7.370000,7.180000,7.300000,6.441774,3306200
2019-08-02,7.230000,7.260000,7.160000,7.210000,6.362354,2318600
2019-08-05,7.210000,7.300000,7.170000,7.200000,6.353530,2285400
2019-08-06,7.010000,7.310000,7.010000,7.200000,6.353530,4536400
2019-08-07,7.200000,7.260000,7.150000,7.210000,6.362354,2494100
2019-08-08,7.110000,7.290000,7.110000,7.210000,6.362354,2631700
2019-08-09,7.130000,7.260000,7.130000,7.220000,6.371179,1458000
2019-08-13,7.270000,7.270000,7.120000,7.200000,6.353530,1416500
2019-08-14,7.170000,7.290000,7.170000,7.250000,6.397652,2295300
2019-08-15,7.160000,7.280000,7.110000,7.180000,6.335882,2447600
2019-08-16,7.120000,7.360000,7.120000,7.290000,6.432949,806900
2019-08-19,7.200000,7.360000,7.200000,7.310000,6.450598,2143000
2019-08-20,7.310000,7.450000,7.310000,7.360000,6.494720,1779200
2019-08-21,7.300000,7.390000,7.230000,7.230000,6.380004,479500
2019-08-22,7.210000,7.350000,7.200000,7.300000,6.441774,1466400
