Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,8.330000,8.390000,8.300000,8.340000,7.448288,3341400
2019-06-17,8.300000,8.350000,8.300000,8.320000,7.430426,4353300
2019-06-18,8.300000,8.380000,8.300000,8.340000,7.448288,3526000
2019-06-19,8.350000,8.420000,8.320000,8.360000,7.466149,5404900
2019-06-20,8.300000,8.390000,8.300000,8.370000,7.475080,5040300
2019-06-21,8.390000,8.560000,8.350000,8.560000,7.644765,11051600
2019-06-24,8.500000,8.580000,8.440000,8.500000,7.591180,3292600
2019-06-25,8.510000,8.510000,8.410000,8.430000,7.528666,5748300
2019-06-26,8.450000,8.450000,8.390000,8.420000,7.519734,6305200
2019-06-27,8.420000,8.440000,8.370000,8.380000,7.484012,10914900
2019-06-28,8.370000,8.450000,8.360000,8.400000,7.501872,12911800
2019-07-01,8.430000,8.770000,8.430000,8.740000,7.805520,5685600
2019-07-02,8.740000,8.750000,8.610000,8.650000,7.725142,3673500
2019-07-03,8.610000,8.660000,8.560000,8.600000,7.680490,5920900
2019-07-04,8.570000,8.640000,8.560000,8.620000,7.698349,6284800
2019-07-05,8.610000,8.690000,8.590000,8.630000,7.707281,1560500
2019-07-08,8.630000,8.650000,8.580000,8.600000,7.680490,2101300
2019-07-09,8.590000,8.610000,8.580000,8.600000,7.680490,5129400
2019-07-10,8.630000,8.630000,8.410000,8.410000,7.510803,7370900
2019-07-11,8.540000,8.540000,8.360000,8.400000,7.501872,6831100
2019-07-12,8.410000,8.430000,8.390000,8.420000,7.519734,7945300
2019-07-15,8.380000,8.500000,8.320000,8.360000,7.466149,1804800
2019-07-16,8.360000,8.410000,8.240000,8.240000,7.358979,3087600
2019-07-17,8.260000,8.260000,7.900000,7.920000,7.073195,6641000
2019-07-18,7.920000,8.000000,7.600000,7.620000,6.805270,11319300
2019-07-19,7.630000,7.880000,7.540000,7.810000,6.974955,9358400
2019-07-22,7.820000,7.850000,7.690000,7.700000,6.876716,3522700
2019-07-23,7.750000,7.770000,7.680000,7.690000,6.867786,6326900
2019-07-24,7.660000,7.690000,7.500000,7.500000,6.698101,8662600
2019-07-25,7.540000,7.670000,7.520000,7.650000,6.832063,7444900
2019-07-26,7.630000,7.630000,7.540000,7.600000,6.787408,6711400
2019-07-29,7.630000,7.650000,7.540000,7.570000,6.760616,3369400
2019-07-31,7.560000,7.570000,7.400000,7.490000,6.689170,12706500
2019-08-01,7.460000,7.530000,7.450000,7.470000,6.671308,4946600
2019-08-02,7.460000,7.470000,7.420000,7.430000,6.635585,5000700
