Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,2.280000,2.300000,2.270000,2.290000,2.163645,2553600
2019-06-17,2.300000,2.300000,2.260000,2.280000,2.154197,3301200
2019-06-18,2.290000,2.300000,2.240000,2.300000,2.173093,5612800
2019-06-19,2.300000,2.310000,2.270000,2.290000,2.163645,8242300
2019-06-20,2.270000,2.320000,2.260000,2.280000,2.154197,6187600
2019-06-21,2.290000,2.310000,2.280000,2.300000,2.173093,16396500
2019-06-24,2.280000,2.320000,2.280000,2.280000,2.154197,2219600
2019-06-25,2.280000,2.290000,2.270000,2.290000,2.163645,1114700
2019-06-26,2.290000,2.300000,2.270000,2.280000,2.154197,2685000
2019-06-27,2.280000,2.320000,2.270000,2.300000,2.173093,6338500
2019-06-28,2.290000,2.300000,2.260000,2.260000,2.135300,3453900
2019-07-01,2.280000,2.290000,2.270000,2.280000,2.154197,4627800
2019-07-02,2.300000,2.310000,2.260000,2.260000,2.135300,9583200
2019-07-03,2.270000,2.310000,2.260000,2.310000,2.182541,8778400
2019-07-04,2.300000,2.320000,2.290000,2.310000,2.182541,8055700
2019-07-05,2.300000,2.340000,2.290000,2.330000,2.201437,6900300
2019-07-08,2.330000,2.330000,2.290000,2.310000,2.182541,5994000
2019-07-09,2.320000,2.340000,2.290000,2.330000,2.201437,5536800
2019-07-10,2.330000,2.350000,2.320000,2.340000,2.210886,9628700
2019-07-11,2.340000,2.340000,2.300000,2.310000,2.182541,8624800
2019-07-12,2.310000,2.320000,2.280000,2.290000,2.163645,4542800
2019-07-15,2.310000,2.310000,2.260000,2.300000,2.173093,4460300
2019-07-16,2.290000,2.290000,2.240000,2.250000,2.125852,8728600
2019-07-17,2.260000,2.260000,2.180000,2.200000,2.078611,6956200
2019-07-18,2.210000,2.250000,2.180000,2.230000,2.106955,1991400
2019-07-19,2.230000,2.280000,2.210000,2.250000,2.125852,3951900
2019-07-22,2.240000,2.250000,2.200000,2.240000,2.116403,2584900
2019-07-23,2.230000,2.230000,2.180000,2.180000,2.059714,6576800
2019-07-24,2.190000,2.200000,2.180000,2.180000,2.059714,8493200
2019-07-25,2.180000,2.200000,2.170000,2.190000,2.069162,1198000
2019-07-26,2.180000,2.220000,2.170000,2.190000,2.069162,3595500
2019-07-29,2.190000,2.220000,2.170000,2.180000,2.059714,2909200
2019-07-31,2.170000,2.200000,2.140000,2.190000,2.069162,9490700
2019-08-01,2.190000,2.190000,2.140000,2.160000,2.040818,3897100
2019-08-02,2.150000,2.160000,2.130000,2.140000,2.021921,6710500
2019-08-05,2.130000,2.150000,2.100000,2.140000,2.021921,5826200
2019-08-06,2.100000,2.180000,2.100000,2.160000,2.040818,5246600
2019-08-07,2.170000,2.170000,2.120000,2.140000,2.021921,5326300
2019-08-08,2.150000,2.180000,2.140000,2.160000,2.040818,3122000
2019-08-09,2.160000,2.220000,2.160000,2.190000,2.069162,3529000
2019-08-13,2.170000,2.190000,2.150000,2.150000,2.031370,3838700
2019-08-14,2.170000,2.190000,2.150000,2.170000,2.050266,4352400
2019-08-15,2.160000,2.170000,2.130000,2.170000,2.050266,10643700
2019-08-16,2.170000,2.180000,2.140000,2.160000,2.040818,7036500
2019-08-19,2.160000,2.190000,2.140000,2.140000,2.021921,3376800
2019-08-20,2.150000,2.150000,2.100000,2.110000,1.993576,5422500
2019-08-21,2.110000,2.120000,2.080000,2.090000,1.974680,4370000
2019-08-22,2.090000,2.120000,2.070000,2.100000,1.984128,8172600
2019-08-23,2.100000,2.140000,2.100000,2.140000,2.021921,3014300
2019-08-26,2.100000,2.100000,2.040000,2.090000,1.974680,8496200
2019-08-27,2.090000,2.110000,2.080000,2.110000,1.993576,9163400
2019-08-28,2.120000,2.230000,2.120000,2.200000,2.078611,15092100
2019-08-29,2.200000,2.240000,2.190000,2.230000,2.106955,7721900
2019-08-30,2.250000,2.300000,2.220000,2.290000,2.163645,10211200
2019-09-03,2.280000,2.300000,2.230000,2.270000,2.144748,10269500
2019-09-04,2.270000,2.300000,2.250000,2.300000,2.173093,9458200
2019-09-05,2.280000,2.320000,2.260000,2.270000,2.144748,8206800
2019-09-06,2.270000,2.310000,2.270000,2.300000,2.173093,8866000
2019-09-10,2.350000,2.390000,2.300000,2.340000,2.210886,9800000
2019-09-11,2.340000,2.360000,2.300000,2.320000,2.191989,7897500
2019-09-12,2.320000,2.350000,2.300000,2.320000,2.191989,11025300
2019-09-13,2.310000,2.350000,2.310000,2.340000,2.210886,5971800
2019-09-17,2.380000,2.390000,2.320000,2.350000,2.220334,11620300
2019-09-18,2.360000,2.360000,2.320000,2.340000,2.210886,2449600
2019-09-19,2.360000,2.360000,2.290000,2.310000,2.182541,7106500
2019-09-20,2.300000,2.370000,2.290000,2.300000,2.173093,16574600
2019-09-23,2.310000,2.320000,2.280000,2.300000,2.173093,3530600
2019-09-24,2.290000,2.340000,2.290000,2.310000,2.182541,6182900
2019-09-25,2.330000,2.330000,2.260000,2.270000,2.144748,5565700
2019-09-26,2.290000,2.300000,2.270000,2.290000,2.163645,3007300
2019-09-27,2.300000,2.320000,2.290000,2.310000,2.182541,3400400
2019-09-30,2.250000,2.280000,2.210000,2.250000,2.135094,4161000
2019-10-01,2.260000,2.300000,2.240000,2.300000,2.182541,8079700
2019-10-02,2.270000,2.300000,2.260000,2.280000,2.163563,4423300
2019-10-03,2.270000,2.300000,2.250000,2.290000,2.173052,3320400
2019-10-04,2.270000,2.300000,2.260000,2.290000,2.173052,4414600
2019-10-07,2.280000,2.300000,2.230000,2.250000,2.135094,1491400
2019-10-08,2.250000,2.270000,2.230000,2.250000,2.135094,3368600
2019-10-09,2.250000,2.290000,2.230000,2.290000,2.173052,12251300
2019-10-10,2.280000,2.290000,2.230000,2.280000,2.163563,6109000
2019-10-11,2.260000,2.280000,2.240000,2.260000,2.144584,4934400
2019-10-14,2.290000,2.290000,2.250000,2.280000,2.163563,3240600
2019-10-15,2.290000,2.300000,2.250000,2.290000,2.173052,6121200
2019-10-16,2.280000,2.300000,2.270000,2.300000,2.182541,4579300
2019-10-17,2.300000,2.310000,2.270000,2.290000,2.173052,5794400
2019-10-18,2.300000,2.300000,2.260000,2.290000,2.173052,15910600
2019-10-21,2.300000,2.300000,2.290000,2.300000,2.182541,616200
2019-10-22,2.300000,2.330000,2.280000,2.320000,2.201520,5240600
2019-10-23,2.300000,2.310000,2.280000,2.300000,2.182541,2921000
2019-10-24,2.300000,2.320000,2.280000,2.290000,2.173052,3868900
2019-10-25,2.290000,2.310000,2.270000,2.290000,2.173052,2079300
2019-10-29,2.300000,2.310000,2.240000,2.260000,2.144584,7928400
2019-10-30,2.290000,2.290000,2.240000,2.270000,2.154073,10265800
2019-10-31,2.270000,2.290000,2.250000,2.270000,2.154073,4091100
2019-11-01,2.270000,2.290000,2.240000,2.290000,2.173052,5170000
2019-11-04,2.290000,2.320000,2.270000,2.300000,2.182541,2595300
2019-11-05,2.290000,2.330000,2.290000,2.310000,2.192030,4216100
2019-11-06,2.310000,2.320000,2.270000,2.280000,2.163563,3294100
2019-11-07,2.280000,2.380000,2.270000,2.350000,2.229987,5808900
2019-11-08,2.330000,2.350000,2.290000,2.290000,2.173052,5668400
2019-11-11,2.280000,2.310000,2.270000,2.310000,2.192030,4275800
2019-11-12,2.310000,2.350000,2.290000,2.340000,2.220498,5283200
2019-11-13,2.350000,2.360000,2.320000,2.360000,2.239477,3586800
2019-11-14,2.340000,2.360000,2.330000,2.340000,2.220498,3882000
2019-11-15,2.330000,2.380000,2.320000,2.360000,2.239477,4677500
2019-11-18,2.340000,2.380000,2.320000,2.350000,2.229987,3190100
2019-11-19,2.340000,2.370000,2.340000,2.350000,2.229987,7497000
2019-11-20,2.380000,2.380000,2.350000,2.360000,2.239477,5701800
2019-11-21,2.370000,2.370000,2.280000,2.350000,2.229987,5821800
