Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,3.800000,3.820000,3.750000,3.800000,3.508179,5220000
2019-06-17,3.790000,3.800000,3.710000,3.720000,3.434323,5842400
2019-06-18,3.720000,3.900000,3.700000,3.900000,3.600500,12667900
2019-06-19,3.900000,3.990000,3.880000,3.950000,3.646661,12292900
2019-06-20,3.950000,4.110000,3.950000,4.060000,3.748213,16159500
2019-06-21,4.050000,4.080000,3.950000,3.950000,3.646661,14580800
2019-06-24,3.950000,4.050000,3.930000,4.050000,3.738981,11878800
2019-06-25,4.040000,4.260000,4.010000,4.150000,3.831302,19548600
2019-06-26,4.140000,4.270000,3.990000,4.020000,3.711285,18960700
2019-06-27,4.020000,4.130000,4.020000,4.070000,3.757445,16900300
2019-06-28,4.070000,4.080000,3.950000,4.000000,3.692820,14818800
2019-07-01,4.000000,4.180000,3.970000,4.130000,3.812837,11576700
2019-07-02,4.150000,4.300000,4.150000,4.260000,3.932854,12141500
2019-07-03,4.210000,4.290000,4.150000,4.220000,3.895926,8259400
2019-07-04,4.230000,4.370000,4.210000,4.370000,4.034406,8428500
2019-07-05,4.350000,4.370000,4.270000,4.280000,3.951318,10033000
2019-07-08,4.280000,4.380000,4.250000,4.350000,4.015942,4081800
2019-07-09,4.340000,4.430000,4.310000,4.420000,4.080567,5421500
2019-07-10,4.420000,4.490000,4.420000,4.430000,4.089799,6308700
2019-07-11,4.420000,4.540000,4.420000,4.430000,4.089799,5837100
2019-07-12,4.440000,4.460000,4.330000,4.330000,3.997478,4951200
2019-07-15,4.330000,4.400000,4.200000,4.350000,4.015942,5429500
2019-07-16,4.350000,4.380000,4.290000,4.350000,4.015942,4580000
2019-07-17,4.330000,4.380000,4.270000,4.310000,3.979014,2783900
2019-07-18,4.300000,4.360000,4.250000,4.360000,4.025174,3260500
2019-07-19,4.360000,4.500000,4.310000,4.500000,4.154423,7908300
2019-07-22,4.500000,4.600000,4.460000,4.600000,4.246744,3839700
2019-07-23,4.600000,4.680000,4.570000,4.570000,4.219048,7687800
2019-07-24,4.570000,4.640000,4.450000,4.450000,4.108263,4867400
2019-07-25,4.450000,4.450000,4.050000,4.100000,3.785141,37616300
2019-07-26,4.100000,4.270000,4.040000,4.200000,3.877461,11510900
2019-07-29,4.090000,4.140000,4.060000,4.110000,3.794373,10181300
2019-07-31,4.090000,4.090000,3.950000,4.090000,3.775909,24357700
2019-08-01,4.040000,4.100000,4.010000,4.030000,3.720517,7786800
2019-08-02,4.010000,4.030000,3.980000,3.990000,3.683589,7557100
2019-08-05,3.990000,4.040000,3.960000,4.000000,3.692820,4479300
2019-08-06,3.960000,4.070000,3.890000,4.020000,3.711285,5378100
2019-08-07,4.030000,4.090000,4.020000,4.090000,3.775909,3617800
2019-08-08,4.100000,4.140000,4.080000,4.090000,3.775909,5747300
2019-08-09,4.110000,4.130000,4.090000,4.090000,3.775909,5715900
2019-08-13,4.090000,4.090000,4.020000,4.070000,3.757445,4367200
2019-08-14,4.080000,4.120000,4.080000,4.100000,3.785141,3088400
2019-08-15,4.040000,4.090000,3.970000,4.090000,3.775909,4278500
