Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,1.676666,1.690000,1.660000,1.670000,1.453504,19555800
2019-06-17,1.676666,1.686666,1.666666,1.666666,1.450602,13695900
2019-06-18,1.666666,1.666666,1.556666,1.623333,1.412887,46431300
2019-06-19,1.623333,1.646666,1.616666,1.633333,1.421591,7391100
2019-06-20,1.633333,1.650000,1.630000,1.636666,1.424492,9765000
2019-06-21,1.650000,1.673333,1.650000,1.666666,1.450602,41048100
2019-06-24,1.666666,1.673333,1.653333,1.660000,1.444800,9894900
2019-06-25,1.656666,1.656666,1.636666,1.653333,1.438998,5937600
2019-06-26,1.656666,1.660000,1.653333,1.656666,1.441899,4884600
2019-06-27,1.656666,1.663333,1.636666,1.643333,1.430294,9690900
2019-06-28,1.643333,1.650000,1.626666,1.636666,1.424492,18142200
2019-07-01,1.650000,1.666666,1.643333,1.656666,1.441899,7050000
2019-07-02,1.650000,1.650000,1.603333,1.603333,1.405377,20259300
2019-07-03,1.616666,1.636666,1.613333,1.633333,1.431673,18745200
2019-07-04,1.633333,1.633333,1.610000,1.620000,1.419986,11332500
2019-07-05,1.620000,1.623333,1.603333,1.613333,1.414142,14906700
2019-07-08,1.613333,1.616666,1.600000,1.600000,1.402456,15790500
2019-07-09,1.610000,1.616666,1.590000,1.600000,1.402456,16929900
2019-07-10,1.603333,1.603333,1.586666,1.596666,1.399533,5393700
2019-07-11,1.596666,1.596666,1.576666,1.583333,1.387846,13662300
2019-07-12,1.586666,1.613333,1.576666,1.576666,1.382002,23702400
2019-07-15,1.576666,1.576666,1.553333,1.560000,1.367394,21639000
2019-07-16,1.560000,1.560000,1.536666,1.546666,1.355706,12419700
2019-07-17,1.546666,1.546666,1.533333,1.533333,1.344019,10892700
2019-07-18,1.536666,1.563333,1.530000,1.550000,1.358629,22185900
2019-07-19,1.563333,1.566666,1.540000,1.553333,1.361550,16910700
2019-07-22,1.553333,1.560000,1.536666,1.546666,1.355706,10339500
2019-07-23,1.540000,1.546666,1.536666,1.546666,1.355706,6528600
2019-07-24,1.546666,1.546666,1.540000,1.546666,1.355706,6283200
2019-07-25,1.546666,1.560000,1.536666,1.543333,1.352785,21817200
2019-07-26,1.543333,1.546666,1.536666,1.540000,1.349863,6794100
2019-07-29,1.540000,1.543333,1.536666,1.543333,1.352785,7115400
2019-07-31,1.540000,1.543333,1.500000,1.513333,1.326489,16677300
2019-08-01,1.513333,1.530000,1.503333,1.520000,1.332333,8803200
2019-08-02,1.523333,1.523333,1.510000,1.516666,1.329410,12629100
2019-08-05,1.516666,1.516666,1.500000,1.506666,1.320645,15814800
2019-08-06,1.500000,1.566666,1.486666,1.530000,1.341098,27676200
2019-08-07,1.533333,1.543333,1.520000,1.526666,1.338176,11829000
2019-08-08,1.526666,1.526666,1.516666,1.516666,1.329410,7417500
2019-08-09,1.523333,1.523333,1.503333,1.506666,1.320645,5154300
2019-08-13,1.506666,1.510000,1.496666,1.496666,1.311880,6582600
2019-08-14,1.503333,1.510000,1.496666,1.500000,1.314802,9572400
2019-08-15,1.493333,1.496666,1.483333,1.496666,1.311880,5378100
2019-08-16,1.486666,1.496666,1.486666,1.490000,1.306037,3957000
2019-08-19,1.493333,1.516666,1.493333,1.506666,1.320645,4421400
2019-08-20,1.506666,1.526666,1.493333,1.500000,1.314802,5585100
2019-08-21,1.500000,1.513333,1.493333,1.500000,1.314802,4892400
2019-08-22,1.500000,1.536666,1.500000,1.526666,1.338176,7006800
2019-08-23,1.526666,1.583333,1.523333,1.583333,1.387846,11980200
2019-08-26,1.566666,1.566666,1.540000,1.553333,1.361550,12322800
2019-08-27,1.553333,1.560000,1.533333,1.560000,1.367394,19845600
2019-08-28,1.550000,1.553333,1.540000,1.553333,1.361550,8998500
2019-08-29,1.550000,1.560000,1.536666,1.556666,1.364472,6347400
2019-08-30,1.556666,1.583333,1.556666,1.583333,1.387846,13707000
2019-09-03,1.583333,1.593333,1.566666,1.570000,1.376160,7016400
2019-09-04,1.566666,1.573333,1.560000,1.563333,1.370316,7596900
2019-09-05,1.570000,1.573333,1.556666,1.570000,1.376160,11451600
2019-09-06,1.570000,1.576666,1.563333,1.570000,1.376160,5400900
2019-09-10,1.570000,1.583333,1.566666,1.573333,1.379081,10382400
2019-09-11,1.583333,1.590000,1.573333,1.583333,1.387846,19633200
2019-09-12,1.586666,1.600000,1.580000,1.596666,1.399533,11323500
2019-09-13,1.593333,1.596666,1.583333,1.596666,1.399533,10076400
2019-09-17,1.590000,1.596666,1.580000,1.596666,1.399533,7074000
2019-09-18,1.593333,1.596666,1.573333,1.593333,1.396612,9959700
2019-09-19,1.596666,1.596666,1.570000,1.580000,1.384925,7470000
2019-09-20,1.583333,1.583333,1.566666,1.583333,1.387846,18501900
2019-09-23,1.576666,1.583333,1.573333,1.583333,1.387846,22822800
2019-09-24,1.566666,1.583333,1.566666,1.576666,1.382002,5714400
2019-09-25,1.576666,1.580000,1.570000,1.576666,1.382002,14217600
2019-09-26,1.573333,1.583333,1.536666,1.573333,1.379081,14680200
2019-09-27,1.573333,1.580000,1.523333,1.523333,1.335254,12040500
2019-09-30,1.526666,1.536666,1.483333,1.483333,1.300193,16734000
2019-10-01,1.486666,1.510000,1.473333,1.496666,1.311880,10313400
2019-10-02,1.490000,1.506666,1.486666,1.496666,1.311880,13421400
2019-10-03,1.496666,1.500000,1.493333,1.493333,1.308958,4826100
2019-10-04,1.500000,1.506666,1.483333,1.493333,1.308958,10398000
2019-10-07,1.493333,1.520000,1.486666,1.496666,1.311880,13896600
2019-10-08,1.513333,1.513333,1.476666,1.490000,1.306037,11710200
2019-10-09,1.493333,1.493333,1.443333,1.456666,1.276818,22365300
2019-10-10,1.456666,1.460000,1.430000,1.436666,1.259288,15338100
2019-10-11,1.436666,1.436666,1.423333,1.430000,1.253444,10191900
2019-10-14,1.436666,1.456666,1.420000,1.423333,1.247601,11105100
2019-10-15,1.423333,1.433333,1.403333,1.416666,1.241757,17195700
2019-10-16,1.416666,1.433333,1.416666,1.430000,1.253444,8496900
2019-10-17,1.433333,1.450000,1.433333,1.446666,1.268053,8892000
2019-10-18,1.446666,1.450000,1.436666,1.443333,1.265131,3034800
2019-10-21,1.446666,1.453333,1.440000,1.453333,1.273897,5949600
2019-10-22,1.453333,1.456666,1.443333,1.450000,1.270975,5494500
2019-10-23,1.450000,1.463333,1.443333,1.463333,1.282662,3534600
2019-10-24,1.463333,1.466666,1.446666,1.460000,1.279741,2591700
2019-10-25,1.463333,1.463333,1.450000,1.453333,1.273897,922800
2019-10-29,1.466666,1.466666,1.443333,1.456666,1.276818,6871200
2019-10-30,1.466666,1.470000,1.460000,1.466666,1.285583,9210000
2019-10-31,1.466666,1.476666,1.450000,1.450000,1.270975,4019700
2019-11-01,1.456666,1.466666,1.446666,1.466666,1.285583,6706800
2019-11-04,1.470000,1.516666,1.470000,1.506666,1.320645,14763600
2019-11-05,1.510000,1.510000,1.496666,1.500000,1.314802,8432100
2019-11-06,1.500000,1.500000,1.450000,1.456666,1.276818,10763100
2019-11-07,1.456666,1.470000,1.446666,1.470000,1.288506,9816000
2019-11-08,1.470000,1.480000,1.443333,1.450000,1.270975,9030000
2019-11-11,1.453333,1.480000,1.453333,1.470000,1.288506,7040700
2019-11-12,1.470000,1.470000,1.453333,1.466666,1.285583,5215500
2019-11-13,1.466666,1.483333,1.453333,1.483333,1.300193,4544100
2019-11-14,1.483333,1.500000,1.473333,1.500000,1.314802,7210500
2019-11-15,1.503333,1.516666,1.503333,1.503333,1.317723,6042900
2019-11-18,1.503333,1.516666,1.500000,1.516666,1.329410,3246000
2019-11-19,1.516666,1.536666,1.506666,1.530000,1.341098,13695600
2019-11-20,1.533333,1.540000,1.520000,1.533333,1.344019,7011000
2019-11-21,1.533333,1.533333,1.510000,1.533333,1.344019,5058000
2019-11-22,1.516666,1.540000,1.516666,1.533333,1.344019,6965100
2019-11-25,1.533333,1.533333,1.526666,1.530000,1.341098,4433100
2019-11-26,1.530000,1.533333,1.513333,1.530000,1.341098,25473900
2019-11-27,1.530000,1.540000,1.523333,1.536666,1.346941,5581500
2019-11-28,1.536666,1.536666,1.503333,1.530000,1.341098,5793300
2019-11-29,1.530000,1.530000,1.476666,1.500000,1.314802,9833700
2019-12-02,1.513333,1.513333,1.496666,1.496666,1.311880,2454000
2019-12-03,1.510000,1.510000,1.460000,1.473333,1.291427,10071300
2019-12-04,1.470000,1.470000,1.456666,1.456666,1.276818,5725200
2019-12-05,1.460000,1.480000,1.460000,1.466666,1.285583,2148300
2019-12-06,1.470000,1.493333,1.470000,1.470000,1.288506,3410700
2019-12-09,1.480000,1.483333,1.443333,1.443333,1.276711,3483600
2019-12-10,1.450000,1.480000,1.450000,1.470000,1.300300,3596700
2019-12-11,1.470000,1.500000,1.470000,1.483333,1.312094,2536800
2019-12-12,1.493333,1.500000,1.480000,1.480000,1.309145,2958000
2019-12-13,1.496666,1.496666,1.450000,1.463333,1.294402,4355400
2019-12-16,1.470000,1.486666,1.453333,1.483333,1.312094,6754800
2019-12-17,1.483333,1.553333,1.470000,1.553333,1.374013,17112900
2019-12-18,1.566666,1.610000,1.566666,1.596666,1.412343,29545200
2019-12-19,1.600000,1.603333,1.583333,1.603333,1.418241,18621000
2019-12-20,1.603333,1.603333,1.583333,1.603333,1.418241,17273100
2019-12-23,1.603333,1.603333,1.573333,1.590000,1.406447,4399800
2019-12-24,1.586666,1.600000,1.573333,1.596666,1.412343,3387300
2019-12-26,1.596666,1.596666,1.580000,1.583333,1.400549,1931100
2019-12-27,1.586666,1.593333,1.573333,1.586666,1.403498,11338500
2019-12-30,1.590000,1.590000,1.576666,1.583333,1.400549,3153600
2019-12-31,1.576666,1.576666,1.563333,1.566666,1.385806,10903200
2020-01-02,1.566666,1.576666,1.536666,1.550000,1.371064,4583100
2020-01-03,1.553333,1.573333,1.533333,1.556666,1.376961,6677400
2020-01-06,1.556666,1.556666,1.533333,1.553333,1.374013,2670600
2020-01-07,1.550000,1.566666,1.540000,1.550000,1.371064,10408200
2020-01-08,1.546666,1.560000,1.536666,1.536666,1.359270,10377900
2020-01-09,1.553333,1.560000,1.523333,1.526666,1.350424,9225300
2020-01-10,1.530000,1.540000,1.516666,1.540000,1.362219,4850700
2020-01-13,1.540000,1.556666,1.530000,1.546666,1.368115,4754700
2020-01-14,1.556666,1.560000,1.543333,1.553333,1.374013,3324300
2020-01-15,1.553333,1.600000,1.543333,1.600000,1.415292,6502200
2020-01-16,1.583333,1.583333,1.560000,1.570000,1.388756,10965900
2020-01-17,1.566666,1.586666,1.566666,1.586666,1.403498,31247100
2020-01-20,1.586666,1.610000,1.586666,1.606666,1.421189,15060900
2020-01-21,1.613333,1.720000,1.613333,1.703333,1.506696,99848700
